gml_parent_id,gml_id,the_geom,bw_belegung_id,bw_begehren_id,bw_art_des_begehrens_bez,bw_bezeichnung,bw_belastungs_art_bez,bw_datum,mapbs_bw_detail_belegung,mapbs_bw_kalender_strasseplatz,bw_belegungs_art_bez
,BW_Allmendbewilligungen_Veranstaltung.99182,,388996,9099781,Temporäre Nutzungsbewilligung,BAZAR 2017,<unbekannt>,02.12.2017 - 03.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=388996&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=284&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Veranstaltung
,BW_Allmendbewilligungen_Veranstaltung.98988,,369187,9095498,Temporäre Nutzungsbewilligung,Sonntagsflohmarkt,<unbekannt>,02.07.2017 - 01.07.2018,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=369187&month=6&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=1921&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",<unbekannt>
,BW_Allmendbewilligungen_Veranstaltung.105985,,386758,9099075,Temporäre Nutzungsbewilligung,Adväntsgass im Glaibasel 2017 /  Inkl. Fondue-Essen vom 07.12.17 und Pistengaudi vom 09.12.17 (18.00 Uhr bis 20.30 Uhr),<unbekannt>,03.12.2017 - 03.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=386758&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=899&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Veranstaltung
,BW_Allmendbewilligungen_Veranstaltung.105842,,386175,9099075,Temporäre Nutzungsbewilligung,Adväntsgass im Glaibasel 2017 /  Inkl. Fondue-Essen vom 07.12.17 und Pistengaudi vom 09.12.17 (18.00 Uhr bis 20.30 Uhr),<unbekannt>,28.11.2017 - 28.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=386175&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=899&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Veranstaltung
,BW_Allmendbewilligungen_Veranstaltung.105998,,386174,9099075,Temporäre Nutzungsbewilligung,Adväntsgass im Glaibasel 2017 /  Inkl. Fondue-Essen vom 07.12.17 und Pistengaudi vom 09.12.17 (18.00 Uhr bis 20.30 Uhr),<unbekannt>,22.11.2017 - 27.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=386174&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=899&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.105947,,386753,9099075,Temporäre Nutzungsbewilligung,Adväntsgass im Glaibasel 2017 /  Inkl. Fondue-Essen vom 07.12.17 und Pistengaudi vom 09.12.17 (18.00 Uhr bis 20.30 Uhr),<unbekannt>,29.11.2017 - 29.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=386753&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=899&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Veranstaltung
,BW_Allmendbewilligungen_Veranstaltung.105715,,386755,9099075,Temporäre Nutzungsbewilligung,Adväntsgass im Glaibasel 2017 /  Inkl. Fondue-Essen vom 07.12.17 und Pistengaudi vom 09.12.17 (18.00 Uhr bis 20.30 Uhr),<unbekannt>,01.12.2017 - 01.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=386755&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=899&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Veranstaltung
,BW_Allmendbewilligungen_Veranstaltung.105755,,386760,9099075,Temporäre Nutzungsbewilligung,Adväntsgass im Glaibasel 2017 /  Inkl. Fondue-Essen vom 07.12.17 und Pistengaudi vom 09.12.17 (18.00 Uhr bis 20.30 Uhr),<unbekannt>,05.12.2017 - 05.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=386760&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=899&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Veranstaltung
,BW_Allmendbewilligungen_Veranstaltung.105914,,386754,9099075,Temporäre Nutzungsbewilligung,Adväntsgass im Glaibasel 2017 /  Inkl. Fondue-Essen vom 07.12.17 und Pistengaudi vom 09.12.17 (18.00 Uhr bis 20.30 Uhr),<unbekannt>,30.11.2017 - 30.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=386754&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=899&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Veranstaltung
,BW_Allmendbewilligungen_Veranstaltung.105841,,386759,9099075,Temporäre Nutzungsbewilligung,Adväntsgass im Glaibasel 2017 /  Inkl. Fondue-Essen vom 07.12.17 und Pistengaudi vom 09.12.17 (18.00 Uhr bis 20.30 Uhr),<unbekannt>,04.12.2017 - 04.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=386759&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=899&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Veranstaltung
