gml_parent_id,gml_id,the_geom,bw_belegung_id,bw_begehren_id,bw_art_des_begehrens_bez,bw_bezeichnung,bw_belastungs_art_bez,bw_datum,mapbs_bw_detail_belegung,mapbs_bw_kalender_strasseplatz,bw_belegungs_art_bez
,BW_Allmendbewilligungen_Veranstaltung.105909,,386757,9099075,Temporäre Nutzungsbewilligung,Adväntsgass im Glaibasel 2017 /  Inkl. Fondue-Essen vom 07.12.17 und Pistengaudi vom 09.12.17 (18.00 Uhr bis 20.30 Uhr),<unbekannt>,02.12.2017 - 02.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=386757&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=899&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Veranstaltung
,BW_Allmendbewilligungen_Veranstaltung.106778,,392443,9101436,Temporäre Nutzungsbewilligung,Umzug 90-Jahr-Jubiläum der IRG    Route: Türkheimerstrasse - Birkenstrasse,<unbekannt>,03.12.2017 - 03.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=392443&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=607&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.70479,,326700,9090084,Temporäre Nutzungsbewilligung,Palazzo Colombino 2017 / 2018,<unbekannt>,15.11.2017 - 27.01.2018,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=326700&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=975&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.106631,,392440,9101182,Temporäre Nutzungsbewilligung,*Plakataktion* zum Thema Arbeit und Behinderung des Fördervereins impulse 2017,<unbekannt>,02.12.2017 - 11.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=392440&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=596&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.106117,,391722,9100922,Temporäre Nutzungsbewilligung,"SRF Übertragung, Weihnachtskonzert aus der Theodorskirche Basel",<unbekannt>,21.11.2017 - 27.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=391722&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=942&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.100789,,383521,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,02.12.2017 - 02.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383521&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.100950,,383518,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,29.11.2017 - 29.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383518&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.100957,,383523,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,05.12.2017 - 05.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383523&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.100918,,383522,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,04.12.2017 - 04.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383522&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.100824,,383519,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,30.11.2017 - 30.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383519&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.101043,,383517,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,28.11.2017 - 28.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383517&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.100897,,383515,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,27.11.2017 - 27.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383515&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.100833,,383520,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,01.12.2017 - 01.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383520&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.106112,,391722,9100922,Temporäre Nutzungsbewilligung,"SRF Übertragung, Weihnachtskonzert aus der Theodorskirche Basel",<unbekannt>,21.11.2017 - 27.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=391722&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=942&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.100795,,383521,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,02.12.2017 - 02.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383521&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.100850,,383520,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,01.12.2017 - 01.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383520&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.100851,,383519,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,30.11.2017 - 30.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383519&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.101057,,383517,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,28.11.2017 - 28.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383517&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.100938,,383518,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,29.11.2017 - 29.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383518&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.100904,,383515,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,27.11.2017 - 27.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383515&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.100914,,383522,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,04.12.2017 - 04.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383522&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.100948,,383523,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,05.12.2017 - 05.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383523&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.100911,,383522,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,04.12.2017 - 04.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383522&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.100927,,383518,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,29.11.2017 - 29.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383518&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.100958,,383523,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,05.12.2017 - 05.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383523&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.101038,,383517,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,28.11.2017 - 28.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383517&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.100788,,383521,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,02.12.2017 - 02.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383521&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.100816,,383520,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,01.12.2017 - 01.12.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383520&month=11&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.100819,,383519,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,30.11.2017 - 30.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383519&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.100896,,383515,9097841,Temporäre Nutzungsbewilligung,Kunsstoffeisbahn auf dem Marktplatz 2017  mit teilverlängerten Öffnungszeiten,<unbekannt>,27.11.2017 - 27.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383515&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=381&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.106123,,391722,9100922,Temporäre Nutzungsbewilligung,"SRF Übertragung, Weihnachtskonzert aus der Theodorskirche Basel",<unbekannt>,21.11.2017 - 27.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=391722&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=942&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
